Users: 5950, Items: 3191
train 417,940 | val 43,664 | test 112,381
Epoch 120 | 14.6s | TrainLoss 0.0938 | ValLoss 0.2167 | P@10 0.0427 R@10 0.1070 NDCG@10 0.0753
Epoch 121 | 14.8s | TrainLoss 0.0937 | ValLoss 0.2167 | P@10 0.0427 R@10 0.1070 NDCG@10 0.0755
Epoch 122 | 14.5s | TrainLoss 0.0939 | ValLoss 0.2211 | P@10 0.0427 R@10 0.1072 NDCG@10 0.0754
Epoch 123 | 14.6s | TrainLoss 0.0931 | ValLoss 0.2132 | P@10 0.0430 R@10 0.1071 NDCG@10 0.0754
Epoch 124 | 14.5s | TrainLoss 0.0927 | ValLoss 0.2162 | P@10 0.0430 R@10 0.1080 NDCG@10 0.0755
Epoch 125 | 14.4s | TrainLoss 0.0923 | ValLoss 0.2176 | P@10 0.0428 R@10 0.1077 NDCG@10 0.0755
Epoch 126 | 14.5s | TrainLoss 0.0925 | ValLoss 0.2184 | P@10 0.0427 R@10 0.1075 NDCG@10 0.0753
Epoch 127 | 14.5s | TrainLoss 0.0919 | ValLoss 0.2139 | P@10 0.0428 R@10 0.1073 NDCG@10 0.0750
Epoch 128 | 14.5s | TrainLoss 0.0911 | ValLoss 0.2164 | P@10 0.0429 R@10 0.1076 NDCG@10 0.0753
Epoch 129 | 14.4s | TrainLoss 0.0910 | ValLoss 0.2153 | P@10 0.0429 R@10 0.1079 NDCG@10 0.0755
Epoch 130 | 14.4s | TrainLoss 0.0914 | ValLoss 0.2189 | P@10 0.0428 R@10 0.1082 NDCG@10 0.0756
Epoch 131 | 14.5s | TrainLoss 0.0908 | ValLoss 0.2222 | P@10 0.0428 R@10 0.1082 NDCG@10 0.0756
Epoch 132 | 14.4s | TrainLoss 0.0899 | ValLoss 0.2189 | P@10 0.0429 R@10 0.1073 NDCG@10 0.0757
Epoch 133 | 14.5s | TrainLoss 0.0907 | ValLoss 0.2172 | P@10 0.0431 R@10 0.1084 NDCG@10 0.0759
Epoch 134 | 14.4s | TrainLoss 0.0892 | ValLoss 0.2181 | P@10 0.0432 R@10 0.1080 NDCG@10 0.0762
Epoch 135 | 14.4s | TrainLoss 0.0896 | ValLoss 0.2181 | P@10 0.0429 R@10 0.1078 NDCG@10 0.0760
Epoch 136 | 14.5s | TrainLoss 0.0895 | ValLoss 0.2186 | P@10 0.0433 R@10 0.1092 NDCG@10 0.0764
Epoch 137 | 14.4s | TrainLoss 0.0891 | ValLoss 0.2151 | P@10 0.0431 R@10 0.1082 NDCG@10 0.0761
Epoch 138 | 14.4s | TrainLoss 0.0899 | ValLoss 0.2195 | P@10 0.0428 R@10 0.1079 NDCG@10 0.0757
Epoch 139 | 14.4s | TrainLoss 0.0885 | ValLoss 0.2118 | P@10 0.0428 R@10 0.1084 NDCG@10 0.0762
Epoch 140 | 14.4s | TrainLoss 0.0888 | ValLoss 0.2187 | P@10 0.0426 R@10 0.1088 NDCG@10 0.0760
Epoch 141 | 14.4s | TrainLoss 0.0884 | ValLoss 0.2187 | P@10 0.0426 R@10 0.1081 NDCG@10 0.0760
Epoch 142 | 14.5s | TrainLoss 0.0880 | ValLoss 0.2144 | P@10 0.0426 R@10 0.1085 NDCG@10 0.0764
Epoch 143 | 14.4s | TrainLoss 0.0878 | ValLoss 0.2141 | P@10 0.0428 R@10 0.1087 NDCG@10 0.0764
Epoch 144 | 14.4s | TrainLoss 0.0869 | ValLoss 0.2134 | P@10 0.0427 R@10 0.1084 NDCG@10 0.0763
Epoch 145 | 14.6s | TrainLoss 0.0878 | ValLoss 0.2210 | P@10 0.0426 R@10 0.1091 NDCG@10 0.0767
Epoch 146 | 14.4s | TrainLoss 0.0869 | ValLoss 0.2151 | P@10 0.0427 R@10 0.1087 NDCG@10 0.0765
Epoch 147 | 14.4s | TrainLoss 0.0865 | ValLoss 0.2205 | P@10 0.0430 R@10 0.1101 NDCG@10 0.0773
Epoch 148 | 14.4s | TrainLoss 0.0862 | ValLoss 0.2140 | P@10 0.0433 R@10 0.1098 NDCG@10 0.0770
Epoch 149 | 14.4s | TrainLoss 0.0868 | ValLoss 0.2172 | P@10 0.0430 R@10 0.1103 NDCG@10 0.0770
Epoch 150 | 14.4s | TrainLoss 0.0853 | ValLoss 0.2163 | P@10 0.0430 R@10 0.1096 NDCG@10 0.0768
Epoch 151 | 14.4s | TrainLoss 0.0856 | ValLoss 0.2137 | P@10 0.0431 R@10 0.1112 NDCG@10 0.0772
Epoch 152 | 14.8s | TrainLoss 0.0860 | ValLoss 0.2170 | P@10 0.0430 R@10 0.1102 NDCG@10 0.0772
Epoch 153 | 15.3s | TrainLoss 0.0849 | ValLoss 0.2182 | P@10 0.0429 R@10 0.1105 NDCG@10 0.0774
Epoch 154 | 14.6s | TrainLoss 0.0863 | ValLoss 0.2159 | P@10 0.0430 R@10 0.1114 NDCG@10 0.0776
Epoch 155 | 14.5s | TrainLoss 0.0845 | ValLoss 0.2156 | P@10 0.0428 R@10 0.1102 NDCG@10 0.0770
Epoch 156 | 14.4s | TrainLoss 0.0849 | ValLoss 0.2202 | P@10 0.0429 R@10 0.1112 NDCG@10 0.0775
Epoch 157 | 14.4s | TrainLoss 0.0839 | ValLoss 0.2208 | P@10 0.0431 R@10 0.1121 NDCG@10 0.0777
Epoch 158 | 14.4s | TrainLoss 0.0846 | ValLoss 0.2186 | P@10 0.0432 R@10 0.1124 NDCG@10 0.0780
Epoch 159 | 14.5s | TrainLoss 0.0838 | ValLoss 0.2176 | P@10 0.0433 R@10 0.1124 NDCG@10 0.0780
Epoch 160 | 14.4s | TrainLoss 0.0836 | ValLoss 0.2205 | P@10 0.0432 R@10 0.1115 NDCG@10 0.0776
Epoch 161 | 14.5s | TrainLoss 0.0831 | ValLoss 0.2212 | P@10 0.0431 R@10 0.1120 NDCG@10 0.0776
Epoch 162 | 14.4s | TrainLoss 0.0839 | ValLoss 0.2128 | P@10 0.0431 R@10 0.1126 NDCG@10 0.0777
Epoch 163 | 14.4s | TrainLoss 0.0833 | ValLoss 0.2170 | P@10 0.0428 R@10 0.1125 NDCG@10 0.0776
Epoch 164 | 14.4s | TrainLoss 0.0830 | ValLoss 0.2192 | P@10 0.0428 R@10 0.1117 NDCG@10 0.0776
Epoch 165 | 14.4s | TrainLoss 0.0833 | ValLoss 0.2230 | P@10 0.0431 R@10 0.1125 NDCG@10 0.0779
Epoch 166 | 14.6s | TrainLoss 0.0833 | ValLoss 0.2156 | P@10 0.0430 R@10 0.1120 NDCG@10 0.0781
Epoch 167 | 14.5s | TrainLoss 0.0834 | ValLoss 0.2139 | P@10 0.0432 R@10 0.1120 NDCG@10 0.0782
Epoch 168 | 14.3s | TrainLoss 0.0829 | ValLoss 0.2132 | P@10 0.0431 R@10 0.1122 NDCG@10 0.0781
Epoch 169 | 14.4s | TrainLoss 0.0820 | ValLoss 0.2144 | P@10 0.0429 R@10 0.1120 NDCG@10 0.0781
Epoch 170 | 14.4s | TrainLoss 0.0826 | ValLoss 0.2188 | P@10 0.0428 R@10 0.1110 NDCG@10 0.0775
Epoch 171 | 14.4s | TrainLoss 0.0812 | ValLoss 0.2182 | P@10 0.0432 R@10 0.1119 NDCG@10 0.0781
Epoch 172 | 14.4s | TrainLoss 0.0820 | ValLoss 0.2147 | P@10 0.0431 R@10 0.1119 NDCG@10 0.0784
Epoch 173 | 14.3s | TrainLoss 0.0817 | ValLoss 0.2201 | P@10 0.0428 R@10 0.1117 NDCG@10 0.0781
Epoch 174 | 14.4s | TrainLoss 0.0815 | ValLoss 0.2216 | P@10 0.0429 R@10 0.1111 NDCG@10 0.0781
Epoch 175 | 14.3s | TrainLoss 0.0808 | ValLoss 0.2155 | P@10 0.0426 R@10 0.1107 NDCG@10 0.0778
Epoch 176 | 14.3s | TrainLoss 0.0810 | ValLoss 0.2150 | P@10 0.0430 R@10 0.1108 NDCG@10 0.0779
Early stopping triggered at epoch 176.

Final Test | P@10 0.0966 | R@10 0.0921 | NDCG@10 0.1210 | BPR Loss 0.2883
